subject,doctor_i,doctor_j,try_i,try_j,same_doctor,dice,iou
S10,C,D,1,3,False,1.5337424e-09,1.5337423289359779e-09
S10,C,C,2,3,True,0.53138685,0.36182902711366
S10,C,D,2,1,False,0.6106557,0.4395280252521297
S10,C,D,2,2,False,2.3094688e-09,2.3094688168372543e-09
S10,C,D,2,3,False,1.9193858e-09,1.9193857928610635e-09
S10,C,D,3,1,False,0.33663365,0.20238095428004535
S10,C,D,3,2,False,2.2222222e-09,2.2222222172839506e-09
S10,C,D,3,3,False,1.858736e-09,1.858736056024654e-09
S10,D,D,1,2,True,3.952569e-09,3.952569154337671e-09
S10,D,D,1,3,True,2.9325513e-09,2.9325513110482364e-09
S10,D,D,2,3,True,0.4965035,0.33023256125473227
S11,A,A,1,2,True,0.8358097,0.7179322179927214
S11,A,A,1,3,True,0.83907527,0.7227645451536968
S11,A,B,1,1,False,0.67813087,0.5130090498655714
S11,A,B,1,2,False,0.06540931,0.033810412977844755
S11,A,B,1,3,False,0.08353222,0.043586550634373895
S11,A,C,1,1,False,0.17590488,0.09643404925298427
S11,A,C,1,2,False,0.22160856,0.12461180141214832
S11,A,C,1,3,False,0.29287365,0.17155944218789101
S11,A,D,1,1,False,0.12095808,0.06437221179851875
S11,A,D,1,2,False,0.34495857,0.20842895906354494
S11,A,D,1,3,False,0.16643882,0.0907735323223162
S11,A,A,2,3,True,0.83843905,0.7218209674498093
S11,A,B,2,1,False,0.7337295,0.5794413408761024
S11,A,B,2,2,False,0.08095356,0.042184265258233884
S11,A,B,2,3,False,0.13264555,0.0710339386816538
S11,A,C,2,1,False,0.18353634,0.10104046263559757
S11,A,C,2,2,False,0.23361588,0.13225655451023957
S11,A,C,2,3,False,0.3280514,0.1962090165993317
S11,A,D,2,1,False,0.1208981,0.06433823553982715
S11,A,D,2,2,False,0.34953463,0.2117794488191029
S11,A,D,2,3,False,0.1609806,0.08753610329092731
S11,A,B,3,1,False,0.7408347,0.5883538183380306
S11,A,B,3,2,False,0.06732755,0.03483650373267012
S11,A,B,3,3,False,0.11665984,0.061943056061303396
S11,A,C,3,1,False,0.27505827,0.159459459634208
S11,A,C,3,2,False,0.32908705,0.19695044489687621
S11,A,C,3,3,False,0.37958068,0.2342484250147956
S11,A,D,3,1,False,0.1285949,0.06871569724067712
S11,A,D,3,2,False,0.39150444,0.2433978874904494
S11,A,D,3,3,False,0.25849387,0.14843121497416908
S11,B,B,1,2,True,0.18402177,0.10133478640660998
S11,B,B,1,3,True,0.2485931,0.14193908937079097
S11,B,C,1,1,False,0.17413144,0.09536909695200158
S11,B,C,1,2,False,0.22831239,0.12886717861622068
S11,B,C,1,3,False,0.2897994,0.1694534566584843
S11,B,D,1,1,False,0.091914475,0.048171046097843624
S11,B,D,1,2,False,0.13399298,0.07180733560057283
S11,B,D,1,3,False,0.08633679,0.045115982327066186
S11,B,B,2,3,True,0.6481836,0.4794908069597018
S11,B,C,2,1,False,0.103626944,0.05464480931715555
S11,B,C,2,2,False,0.081677705,0.04257767603994379
S11,B,C,2,3,False,0.1544073,0.08366271470114445
S11,B,D,2,1,False,9.727626e-10,9.727626449681295e-10
S11,B,D,2,2,False,0.0055248626,0.002770083654975023
S11,B,D,2,3,False,0.04278075,0.021857924031771624
S11,B,C,3,1,False,0.27063447,0.15649350704123796
S11,B,C,3,2,False,0.23706897,0.13447432815741178
S11,B,C,3,3,False,0.31379515,0.18609550618953966
S11,B,D,3,1,False,9.328358e-10,9.328358200253395e-10
S11,B,D,3,2,False,0.012944985,0.00651465851980746
S11,B,D,3,3,False,0.15569489,0.08441926397483328
S11,C,C,1,2,True,0.79623085,0.6614481411210383
S11,C,C,1,3,True,0.6722689,0.5063291142365005
S11,C,D,1,1,False,0.24049915,0.13668600958305221
S11,C,D,1,2,False,0.17288801,0.09462365630338768
S11,C,D,1,3,False,0.6771593,0.5118978528659908
S11,C,C,2,3,True,0.68350303,0.5191831686143669
S11,C,D,2,1,False,0.2774755,0.16108654506564335
S11,C,D,2,2,False,0.14198473,0.07641742026441355
S11,C,D,2,3,False,0.57238805,0.40094093078884424
S11,C,D,3,1,False,0.15679234,0.08506493565904874
S11,C,D,3,2,False,0.27721158,0.1609086610691393
S11,C,D,3,3,False,0.4799045,0.31570680664099116
S11,D,D,1,2,True,0.09477124,0.04974271066338324
S11,D,D,1,3,True,0.2542194,0.1456193358636741
S11,D,D,2,3,True,0.3129201,0.18548030137871613
